参数一,参数二,参数三,参数四,参数五
0.0,6933788,1.0,22381,2.0
1.0,27495,1.0,87613,1.0
0.0,4095655,1.0,48980,0.0
1.0,27019,1.0,78474,1.0
1.0,826618,1.0,70113,2.0
1.0,6028924,1.0,6664,0.0
0.0,4221843,1.0,6967,2.0
0.0,6845785,1.0,39757,2.0
0.0,9089929,1.0,85382,0.0
0.0,3633975,1.0,79268,0.0
0.0,4227486,1.0,38172,1.0
1.0,27808,1.0,29167,1.0
1.0,8048692,1.0,39850,2.0
1.0,1155504,1.0,16843,1.0
1.0,6594575,1.0,95182,2.0
1.0,41254,1.0,31290,2.0
1.0,27466,1.0,27350,1.0
0.0,9955531,1.0,98417,1.0
1.0,7712028,1.0,79866,0.0
0.0,2273573,1.0,56120,1.0
0.0,481401,1.0,9326,1.0
0.0,2481984,1.0,30754,1.0
0.0,9576041,1.0,61100,0.0
0.0,1413315,1.0,27633,0.0
0.0,8391277,1.0,80373,2.0
0.0,6103270,1.0,99183,0.0
1.0,9479877,1.0,19141,2.0
1.0,27660,1.0,44262,1.0
0.0,9294294,1.0,27123,1.0
1.0,5010713,1.0,17710,2.0
0.0,5809508,1.0,11020,0.0
0.0,3759794,1.0,12315,0.0
1.0,27260,1.0,78418,1.0
1.0,27570,1.0,47600,1.0
1.0,27098,1.0,72137,1.0
1.0,3807481,1.0,16408,2.0
0.0,8288772,1.0,48688,2.0
1.0,5273320,1.0,41478,0.0
1.0,279414,1.0,10597,1.0
0.0,9869324,1.0,61817,1.0
1.0,5442962,1.0,70918,2.0
1.0,1259035,1.0,60632,2.0
0.0,6287712,1.0,72848,0.0
1.0,3440544,1.0,1828,2.0
1.0,27726,1.0,30486,1.0
1.0,5382144,1.0,32172,0.0
1.0,1719845,1.0,75216,0.0
0.0,4873764,1.0,68981,2.0
1.0,3203438,1.0,83932,1.0
1.0,7933398,1.0,86764,0.0
1.0,4548419,1.0,53855,2.0
0.0,4397035,1.0,67551,2.0
1.0,27824,1.0,41441,1.0
1.0,27890,1.0,74232,1.0
1.0,3049171,1.0,47401,2.0
1.0,3367106,1.0,47852,1.0
1.0,1939967,1.0,52431,1.0
0.0,6100003,1.0,47633,0.0
0.0,6031026,1.0,85005,2.0
1.0,4690620,1.0,18711,1.0
1.0,1095326,1.0,49600,1.0
0.0,3081355,1.0,51499,1.0
1.0,6677315,1.0,15828,0.0
1.0,3728488,1.0,42093,1.0
0.0,2742346,1.0,52383,0.0
1.0,3519157,1.0,90915,0.0
0.0,787455,1.0,69805,1.0
0.0,4929637,1.0,98662,2.0
0.0,1533449,1.0,94596,1.0
1.0,27493,1.0,66468,1.0
0.0,3113341,1.0,86790,2.0
0.0,2416992,1.0,45644,0.0
0.0,1448277,1.0,38568,0.0
1.0,7262503,1.0,33268,0.0
1.0,7238459,1.0,28402,2.0
1.0,27093,1.0,95702,1.0
0.0,2419291,1.0,79942,2.0
0.0,6641551,1.0,4723,0.0
0.0,3468740,1.0,76873,0.0
1.0,770517,1.0,66068,0.0
1.0,27210,1.0,48539,1.0
0.0,4047624,1.0,88875,1.0
1.0,1985957,1.0,88161,2.0
1.0,7380917,1.0,61520,0.0
1.0,3872048,1.0,86798,0.0
1.0,27149,1.0,46763,1.0
1.0,9693417,1.0,64474,0.0
1.0,6944888,1.0,14234,1.0
0.0,8622774,1.0,12903,0.0
0.0,2887156,1.0,68307,2.0
1.0,27917,1.0,91941,1.0
1.0,27561,1.0,78944,1.0
1.0,6701242,1.0,82964,2.0
1.0,8504204,1.0,6609,0.0
0.0,539283,1.0,72556,2.0
0.0,7019381,1.0,3308,1.0
1.0,5742812,1.0,16084,2.0
1.0,27287,1.0,19792,1.0
1.0,27313,1.0,11497,1.0
0.0,6734486,1.0,62579,0.0
0.0,8695787,1.0,76036,0.0
1.0,1636555,1.0,96876,0.0
0.0,4550890,1.0,72567,0.0
1.0,4443328,1.0,7331,2.0
1.0,27026,1.0,72581,1.0
