参数一,参数二,参数三,参数四,参数五
1.0,23760,1.0,8859,13000282
0.0,26592,1.0,1519,13000013
1.0,49092,1.0,6723,13000296
1.0,10635,1.0,7682,13000998
0.0,19570,1.0,1997,13000405
1.0,16142,1.0,2819,13000576
0.0,43053,1.0,8699,13000500
0.0,23716,1.0,6451,13000054
1.0,27555,1.0,2170,13000063
0.0,38323,1.0,4181,13000112
0.0,8468,1.0,6697,13000028
1.0,30662,1.0,5244,13000939
1.0,20120,1.0,908,13000517
0.0,49867,1.0,2291,13000284
1.0,27824,1.0,1803,13000078
1.0,24853,1.0,7668,13000982
1.0,16434,1.0,7393,13000147
1.0,42874,1.0,7250,13000279
1.0,18406,1.0,9218,13000964
1.0,27715,1.0,1072,13000045
0.0,20095,1.0,5515,13000225
1.0,9871,1.0,7335,13000990
0.0,48383,1.0,9433,13000779
0.0,11576,1.0,4327,13000877
0.0,12992,1.0,1372,13000845
0.0,3986,1.0,1409,13000735
1.0,37354,1.0,631,13000467
1.0,27459,1.0,8694,13000904
0.0,19249,1.0,8112,13000316
0.0,11965,1.0,3152,13000448
0.0,27120,1.0,3823,13000059
1.0,516,1.0,133,13000995
0.0,33755,1.0,1581,13000209
1.0,14550,1.0,8562,13000886
0.0,15496,1.0,1248,13000592
1.0,34655,1.0,7245,13000360
0.0,31474,1.0,1484,13000712
1.0,28008,1.0,1765,13000267
0.0,48273,1.0,8659,13000597
1.0,25088,1.0,3215,13000382
0.0,36639,1.0,86,13000442
0.0,2477,1.0,9274,13000193
0.0,40186,1.0,6206,13000296
0.0,45634,1.0,9172,13000841
0.0,24949,1.0,4660,13000517
1.0,19607,1.0,3997,13000605
0.0,11844,1.0,7329,13000260
0.0,46053,1.0,6189,13000090
0.0,42655,1.0,2433,13000348
1.0,27126,1.0,1802,13000082
1.0,28922,1.0,457,13000679
1.0,27145,1.0,8760,13000944
1.0,31285,1.0,245,13000682
1.0,18476,1.0,6060,13000757
0.0,20075,1.0,8572,13000437
1.0,27964,1.0,8015,13000950
1.0,20949,1.0,4424,13000341
1.0,11847,1.0,5710,13000034
1.0,27204,1.0,7731,13000004
1.0,18078,1.0,9891,13000720
0.0,26901,1.0,3397,13000135
0.0,35553,1.0,8284,13000306
0.0,32465,1.0,5504,13000835
0.0,15692,1.0,7417,13000262
1.0,47299,1.0,7828,13000424
1.0,16388,1.0,729,13000698
1.0,27140,1.0,1302,13000071
1.0,27040,1.0,2462,13000023
0.0,23414,1.0,8697,13000334
0.0,41931,1.0,7538,13000398
1.0,27687,1.0,8410,13000949
0.0,42240,1.0,4434,13000315
1.0,5562,1.0,5191,13000307
1.0,37748,1.0,4991,13000845
0.0,19247,1.0,5798,13000682
1.0,47071,1.0,6054,13000980
1.0,27842,1.0,8195,13000964
0.0,29419,1.0,91,13000243
1.0,146,1.0,8195,13000747
0.0,4092,1.0,2132,13000447
1.0,36669,1.0,4557,13000525
1.0,27955,1.0,8731,13000995
1.0,32394,1.0,3851,13000711
0.0,45657,1.0,7301,13000523
0.0,5385,1.0,182,13000196
0.0,36305,1.0,6666,13000955
0.0,31953,1.0,403,13000187
1.0,22124,1.0,493,13000989
1.0,27101,1.0,1528,13000000
0.0,20323,1.0,5784,13000929
1.0,36924,1.0,4046,13000873
1.0,2634,1.0,1807,13000868
0.0,20169,1.0,6561,13000552
1.0,26528,1.0,5287,13000227
1.0,27534,1.0,7963,13000911
1.0,27601,1.0,8108,13000991
0.0,34421,1.0,9342,13000271
1.0,9234,1.0,7237,13000844
0.0,43771,1.0,4161,13000156
1.0,46669,1.0,5330,13000477
0.0,47752,1.0,7228,13000256
0.0,10078,1.0,8239,13000879
1.0,38114,1.0,3724,13000607
0.0,16672,1.0,3018,13000009
0.0,5369,1.0,4701,13000127
0.0,26809,1.0,1241,13000659
1.0,24412,1.0,4443,13000483
0.0,47398,1.0,7387,13000949
0.0,30304,1.0,6874,13000226
